电影名称,上映年份,评分,地区,简介
肖申克的救赎,1994,9.6,美国,希望让人自由。
这个杀手不太冷,1994,9.4,法国,怪蜀黍和小萝莉不得不说的故事。
霸王别姬,1993,9.5,中国大陆 香港,风华绝代。
阿甘正传,1994,9.4,美国,一部美国近现代史。
美丽人生,1997,9.5,意大利,最美的谎言。
千与千寻,2001,9.2,日本,最好的宫崎骏，最好的久石让。 
辛德勒的名单,1993,9.4,美国,拯救一个人，就是拯救整个世界。
泰坦尼克号,1997,9.2,美国,失去的才是永恒的。 
盗梦空间,2010,9.2,美国 英国,诺兰给了我们一场无法盗取的梦。
机器人总动员,2008,9.3,美国,小瓦力，大人生。
海上钢琴师,1998,9.2,意大利,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,2009,9.1,印度,英俊版憨豆，高情商版谢耳朵。
忠犬八公的故事,2009,9.2,美国 英国,永远都不能忘记你所爱的人。
放牛班的春天,2004,9.2,法国 瑞士 德国,天籁一般的童声，是最接近上帝的存在。 
大话西游之大圣娶亲,1995,9.2,香港 中国大陆,一生所爱。
教父,1972,9.2,美国,千万不要记恨你的对手，这样会让你失去理智。
龙猫,1988,9.1,日本,人人心中都有个龙猫，童年就永远不会消失。
楚门的世界,1998,9,美国,如果再也不能见到你，祝你早安，午安，晚安。
乱世佳人,1939,9.2,美国,Tomorrow is another day.
天堂电影院,1988,9.1,意大利 法国,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
当幸福来敲门,2006,8.9,美国,平民励志片。 
触不可及,2011,9.1,法国,满满温情的高雅喜剧。
搏击俱乐部,1999,9,美国 德国,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
十二怒汉,1957,9.3,美国,1957年的理想主义。 
无间道,2002,9,香港,香港电影史上永不过时的杰作。
指环王3：王者无敌,2003,9.1,美国 新西兰,史诗的终章。
熔炉,2011,9.2,韩国,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
怦然心动,2010,8.9,美国,真正的幸福是来自内心深处。
天空之城,1986,9,日本,对天空的追逐，永不停止。 
罗马假日,1953,8.9,美国,爱情哪怕只有一天。
少年派的奇幻漂流,2012,9,美国 台湾 英国 加拿大,瑰丽壮观、无人能及的冒险之旅。
大话西游之月光宝盒,1995,8.9,香港 中国大陆,旷古烁今。
鬼子来了,2000,9.1,中国大陆,对敌人的仁慈，就是对自己残忍。
蝙蝠侠：黑暗骑士,2008,9,美国 英国,无尽的黑暗。
星际穿越,2014,9.1,美国 英国 加拿大,爱是一种力量，让我们超越时空感知它的存在。
